This file is outdated, check "Character Dialog Description.txt" instead

A downright terrible estimation of character dialog (read: content) amount based on their directory size.
The characters are ordered by in-game number.
This file should be updated when new dialog is added/translated.

Last Update: 2022-05-22 (TW v4.840)

Added a shitty approximate for line count. This time it didn't account for HPH_PRINT functions, mistakes were made. Some characters might have even more lines because of it.
Keep in mind many of those lines are either repeated, reconnected into general description or plain abandoned/not used
Or regex is capturing something by a mistake

To see more accurate progress and translators involved, check CHARACTER_DIALOG_STATUS.ERB

  # Name             Lines    	Size         Notes
---------------------------------------------------
  1 Reimu		1) 6696 2) 5819 - 880 	KB - 75%
 50 Flandre	    1) 550 2) 980  	- 1) 310 KB 2) 268 KB - 1) 100% 2) 0%
 51 Nitori			1156 		- 340 	KB - 100%
 52 Reisen			3876		- 372 	KB - 100%
 53 Tewi	    1) 293 2) 167	- 1) 354 KB 2) 400 KB  - 60% - Second futa dialogue merged into main (293 + 167)
 54 Patchouli		1057 		- 361 	KB - 100%
 55 Byakuren		3456		- 645  	KB - 0%
 56 Miko			298	 		- 124	KB - 0%
 57 Kokoro			2225		- 440 	KB - 0%
 58 Meiling			3699		- 513 	KB - 100%~
 59 Koakuma	    1) 350 2) 582	- 1) 136 KB 2) 324 KB - 1) 100% 2) 0%
 61 Mokou			1847		- 481 	KB - 100%
 62 Kaguya			7349		- 1.02	MB - 95% - A lot of repeated sections to be fair
 63 Kagerou			2352		- 408 	KB - 85%
 64 Yuugi			3890 		- 607	KB - 100%
 65 Momiji			3679		- 764 	KB - 100%
 67 Keine			619 		- 172 	KB - 0%
 68 Yuuka			3698		- 824 	KB - 100%~
 69 Mamizou			1175		- 377 	KB - 100%
 70 Kosuzu			3616		- 628 	KB - 85%~
 71 Shinmyoumaru	336			- 275 	KB - 100%~
 72 Eirin			13536		- 1.62 	MB - 0 - a lot of repetition to be fair
 73 Sekibanki		125			- 86 	KB - 0%
 74 Letty		1) 676 2) 343 	- 1) 176 KB 2) 152 KB - 1) 0% 2) 0%
 75 Medicine		3063 		- 648	KB - 0%
 76 Komachi			5989		- 1.03	MB - 0%
 78 Minoriko		663			- 356 	KB - 0%
 79 Hina			4204 		- 768 	KB - 0%
 80 Akyuu			3349		- 416 	KB - 100%~
 83 Kisume			1628		- 468	KB - 0%
 84 Yamame 			205 		- 83	KB - 100%
 85 Ichirin			1102		- 324	KB - 0%
 86 Murasa			773			- 232 	KB - 0%
 87 Shou			4399 		- 681 	KB - 0%
 88 Kyouko			218	 		- 137 	KB - 0%
 89 Yoshika			191			- 125	KB - 100%
 90 Seiga			2052		- 495 	KB - 0%
 91 Tojiko			308		 	- 136 	KB - 0%
 92 Futo			722			- 221 	KB - 0%
 93 Wakasagihime	4292		- 588 	KB - 0%
 94 Benben			2769		- 511 	KB - 0%
 95 Yatsuhashi		2537		- 490 	KB - 0%
 96 Raiko			3827		- 560 	KB - 0%
 97 Seija			6530		- 686 	KB - 100% - New lines were added, moans trimmed
 99 Toyohime		3724		- 684	KB - 1% - settings only
100 Rei'sen			5470 		- 932	KB - 0%
101 Tokiko			7063		- 1.03	MB - 0%
103 Yumeko			2545		- 589 	KB - 0%
104 Yuki			2177 		- 488	KB - 0%
105 Mai(TH98)		3814 		- 620	KB - 60%
106 Sumireko		1381		- 259 	KB - 0%
109 Doremy			10257 		- 1.48	MB - 0%
110 Sagume			3595 		- 572 	KB - 0%
111 Clownpiece		2442 		- 484 	KB - 78%
117 Gengetsu		1184		- 280	KB - 0%
118 Eternity		196			- 186 	KB - 100%
119 Nemuno			166			- 158 	KB - 0%
120 Aunn			193			- 168 	KB - 0%
121 Narumi			141			- 161 	KB - 100%
122 Mai				1483		- 173 	KB - 0%
123 Satono			1548		- 164 	KB - 0%
124 Okina			4477		- 187 	KB - 0%
125 Joon			997			- 219 	KB - 100%
126 Shion			877			- 217 	KB - 100%
129 Kutaka			2537		- 545	KB - 0%
130 Yachie			1850 		- 324	KB - 0%
134 Miyoi			2060		- 550	KB - 0%

Regex: [^;]PRINTFORM......|[^;]PRINT[LW]*[^F_]......|PRINT_DIALOGUE.*|HPH_PRINT.*
